label,raw_curr,raw_cts
1,17.06766085,2088
1,17.91748647,2258
1,18.3117209,2241
1,18.59975223,2272
1,18.82890202,2272
1,19.01792696,2408
1,19.17655912,2337
1,19.31060164,2349
1,19.42381878,2403
1,19.51878742,2432
1,19.597332,2379
1,19.66076681,2492
1,19.71003953,2456
1,19.74581932,2529
1,19.76855191,2619
2,17.15531527,2186
2,18.00061782,2197
2,18.39033362,2276
2,18.67385052,2316
2,18.89848982,2361
2,19.08300798,2387
2,19.23713682,2457
2,19.36667923,2421
2,19.47539924,2439
2,19.5658735,2479
2,19.63992617,2493
2,19.69887135,2439
2,19.74365644,2447
2,19.77495039,2544
2,19.79319866,2423
3,17.17547903,2085
3,18.01629964,2215
3,18.40153433,2344
3,18.68057071,2261
3,18.90072985,2410
3,19.08076796,2260
3,19.23041663,2439
3,19.35547852,2450
3,19.45971742,2371
3,19.54570974,2366
3,19.61527941,2423
3,19.66974028,2426
3,19.71003953,2433
3,19.73684585,2468
3,19.75060449,2519
4,17.12839295,2252
4,17.96471917,2147
4,18.34545674,2249
4,18.61999301,2284
4,18.83564883,2342
4,19.01118016,2366
4,19.15631834,2449
4,19.2768658,2403
4,19.37658607,2461
4,19.45805532,2416
4,19.52309723,2426
4,19.5730254,2501
4,19.60878675,2484
4,19.63104974,2496
4,19.64025935,2498
5,17.01349284,2131
5,17.84525788,2310
5,18.2214278,2250
5,18.4913897,2301
5,18.70246416,2288
5,18.87340687,2297
5,19.01394893,2396
5,19.12989247,2336
5,19.22500078,2427
5,19.30184973,2432
5,19.36226274,2463
5,19.40755313,2381
5,19.43866755,2478
5,19.45627416,2430
5,19.46081766,2458
6,16.82937503,1985
6,17.65645364,2145
6,18.02792653,2243
6,18.2931805,2211
6,18.49953584,2305
6,18.66574794,2324
6,18.80154756,2254
6,18.91273656,2421
6,19.00307788,2429
6,19.0751471,2506
6,19.13076731,2414
6,19.17125151,2417
6,19.197546,2413
6,19.21031863,2538
6,19.21001374,2266
7,16.57370798,1984
7,17.39590838,2183
7,17.76248761,2263
7,18.02283212,2316
7,18.22426184,2217
7,18.38553179,2206
7,18.51637236,2207
7,18.62258503,2338
7,18.70793236,2365
7,18.77498952,2265
7,18.82557923,2369
7,18.86101407,2482
7,18.88223994,2391
7,18.88992428,2394
7,18.884511,2317
8,16.24307631,1977
8,17.06012682,2032
8,17.42153474,2114
8,17.6766861,2217
8,17.87290034,2197
8,18.02893201,2221
8,18.15451105,2346
8,18.25543843,2273
8,18.33547624,2198
8,18.39719913,2270
8,18.44242932,2251
8,18.47247885,2363
8,18.4882931,2284
8,18.49053897,2310
8,18.47965981,2310
9,15.83273128,1960
9,16.6442594,2181
9,17.00011581,2131
9,17.24968591,2085
9,17.44028856,2254
9,17.59067768,2258
9,17.71058256,2234
9,17.80580353,2277
9,17.88010201,2272
9,17.93605198,2107
9,17.97547495,2239
9,17.99968227,2189
9,18.00961858,2286
9,18.00595003,2303
9,17.98911923,2281
10,15.33620106,1886
10,16.14170072,1958
10,16.49148907,2079
10,16.73495067,2148
10,16.9194035,2174
10,17.06360064,2071
10,17.17727046,2190
10,17.26621239,2091
10,17.33418688,2098
10,17.38376698,2182
10,17.41677319,2194
10,17.43451584,2154
10,17.43793854,2145
10,17.42770637,2104
10,17.40426085,2148
11,14.7446757,1936
11,15.543455,1986
11,15.8864684,1962
11,16.12309923,2056
11,16.30066424,2085
11,16.43791518,2027
11,16.54457913,2009
11,16.62645412,2077
11,16.68729922,2064
11,16.729686,2160
11,16.75543348,2081
11,16.76585047,2087
11,16.76187898,2137
11,16.74418246,2093
11,16.71320074,2114
12,14.04600581,1729
12,14.83709997,1852
12,15.172351,1962
12,15.40114034,2005
12,15.57078276,1889
12,15.70002799,2011
12,15.79860098,1989
12,15.87229761,2001
12,15.92487469,2003
12,15.95890148,1980
12,15.97619458,1999
12,15.97806031,2040
12,15.9654381,2000
12,15.93898872,1953
12,15.89914924,1952
13,13.22298879,1688
13,14.00500666,1803
13,14.33106756,1715
13,14.55054971,1738
13,14.71076455,1816
13,14.83045833,1912
13,14.91935243,1903
13,14.98323895,1917
13,15.02587082,1861
13,15.04981322,1785
13,15.05687855,1908
13,15.0483687,1839
13,15.02521853,1984
13,14.988084,1846
13,14.93739717,1867
14,12.25022195,1571
14,13.02105217,1654
14,13.33574682,1666
14,13.54367816,1636
14,13.69215136,1698
14,13.79990612,1787
14,13.87665694,1762
14,13.92818872,1731
14,13.95824681,1720
14,13.96938846,1741
14,13.96341768,1722
14,13.94162759,1725
14,13.90494376,1723
14,13.85401241,1764
14,13.78925531,1753
